Company,Ticker,Exchange,Stock Delisted,cik
Chewy,CHWY,NYSE,False,1766502.0
AEye,AEYE,NASDAQ,False,1362190.0
Markforged,MKFG,NYSE,False,1816613.0
Absci,ABSI,NASDAQ,False,1672688.0
Planet,PL,NYSE,False,1836833.0
Sonder,SOND,NASDAQ,False,1819395.0
Sweetgreen,SG,NYSE,False,1477815.0
PagerDuty,PD,NYSE,False,1568100.0
Toast,TOST,NYSE,False,1650164.0
Shift,SFT,NASDAQ,True,
DraftKings,DKNG,NASDAQ,False,1883685.0
Carvana,CVNA,NYSE,False,1690820.0
REE Automotive,REE,NASDAQ,False,1843588.0
Informatica,INFA,NYSE,False,1868778.0
2U,TWOU,NASDAQ,False,1459417.0
MakeMyTrip,MMYT,NASDAQ,False,1495153.0
Sabre,SABR,NASDAQ,False,1597033.0
Zip,ZIP.AX,ASX,False,1617553.0
Payoneer,PAYO,NASDAQ,False,1845815.0
Adobe,ADBE,NASDAQ,False,796343.0
Vicarious Surgical,RBOT,NYSE,False,1812173.0
Robinhood,HOOD,NASDAQ,False,1783879.0
Zuora,ZUO,NYSE,False,1423774.0
Procore,PCOR,NYSE,False,1611052.0
Twitter,TWTR,NYSE,True,
Tenable,TENB,NASDAQ,False,1660280.0
Asana,ASAN,NYSE,False,1477720.0
Core Scientific,CORZ,NASDAQ,False,
Bitfarms,BITF,NASDAQ,False,1812477.0
Upstart,UPST,NASDAQ,False,1647639.0
Definitive Healthcare,DH,NASDAQ,False,1861795.0
Uber,UBER,NYSE,False,1543151.0
PagSeguro,PAGS,NYSE,False,1712807.0
Bird,BRDS,NYSE,True,1861449.0
XP,XP,NASDAQ,False,1787425.0
Fortinet,FTNT,NASDAQ,False,1262039.0
Cyren,CYRNQ,OTCMKTS,False,
Better Therapeutics,BTTX,OTCMKTS,False,1832415.0
Life360,LIFX,OTCMKTS,False,1581760.0
Block,SQ,NYSE,False,1512673.0
Stitch Fix,SFIX,NASDAQ,False,1576942.0
Philips,PHG,NYSE,False,313216.0
NIO,NIO,NYSE,False,1736541.0
Perion,PERI,NASDAQ,False,1338940.0
Inspirato,ISPO,NASDAQ,False,1820566.0
Twilio,TWLO,NYSE,False,1447669.0
LiveRamp,RAMP,NYSE,False,733269.0
NCC Group,NCC.L,LSE,False,
