Company,IsUS,Location HQ,Industry,Number Laid Off,Date of Layoff,Source,Dollars Raised (mil),Stage,Country,Percentage,Job Positions Laid Off Desc,Job Positions Laid Off Specific,Reason Mentioned 1,Reason Mentioned 2,Reason Mentioned 3,Unprofitable,AI Mentioned,AI Relation,Expansion Mentioned,cik,Ticker,Exchange,Stock Delisted,Announced Post-Trading Hours,Stock Return On Closest Trading Date Post-Announcement (t),Stock Return 3 Days Before t,Stock Return 2 Days Before t,Stock Return 1 Day Before t,Stock Return 1 Day After t,Stock Return 2 Days After t,Stock Return 3 Days After t,List of Employees Laid Off
Amazon,TRUE,Seattle,Retail,,11/17/2023,https://www.geekwire.com/2023/amazon-will-cut-several-hundred-more-jobs-on-alexa-team-as-it-discontinues-some-initiatives/,108,Post-IPO,United States,,Alexa,,Definite business realignment,Focus on generative AI,,FALSE,TRUE,Pivot towards AI,TRUE,1018724,AMZN,NASDAQ,FALSE,FALSE,0.016453062,0.022512145,-0.017832689,-0.002583765,0.006543685,-0.015260459,0.01952754,
NextGen Healthcare,TRUE,St. Louis,Healthcare,84,11/17/2023,https://www.bizjournals.com/stlouis/news/2023/11/17/health-care-tech-firm-lay-off-84-st-louis-workers.html,,Acquired,United States,,,,,,,,,,,,,,,,,,,,,,,
Buildertrend,TRUE,Omaha,Construction,,11/17/2023,https://siliconprairienews.com/2023/11/buildertrend-layoffs-november-2023/,,Unknown,United States,0.16,,,,,,,,,,,,,,,,,,,,,,
Jane,TRUE,Lehi,Retail,,11/17/2023,https://www.sltrib.com/news/business/2023/11/17/utah-based-online-marketplace/,40,Series A,United States,1,,,,,,,,,,,,,,,,,,,,,,
Zazuu,TRUE,London,Finance,,11/17/2023,https://www.benjamindada.com/african-focused-fintech-zazuu-shuts-down/,,Unknown,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,
Sonos,TRUE,New York City,Consumer,,11/16/2023,https://www.bloomberg.com/news/articles/2023-11-16/sonos-plans-to-cut-jobs-as-it-prepares-push-into-headphones,455.2,Post-IPO,United States,,Product development,,Lower demand,Business realignment,,,FALSE,,TRUE,1314727,SONO,NASDAQ,FALSE,FALSE,0.170925067,-0.006554368,0.061263015,0.007992909,0.031602715,0.044493046,-0.020251394,
Sierra Space,TRUE,Boulder,Aerospace,115,11/16/2023,https://www.cnbc.com/2023/11/16/sierra-space-layoffs.html,1700,Series B,United States,,,,,,,,,,,,,,,,,,,,,,,
Paystack,FALSE,Lagos,Finance,33,11/16/2023,https://techcrunch.com/2023/11/16/paystack-reduces-operations-outside-of-africa-affecting-33-employees-in-europe-and-dubai/,10,Acquired,Nigeria,,,,,,,,,,,,,,,,,,,,,,,
Beamery,FALSE,London,HR,,11/16/2023,https://tech.eu/2023/11/16/london-hrtech-startup-beamery-to-cut-25-of-workforce-amid-restructuring/,223,Series D,United Kingdom,0.25,,,,,,,,,,,,,,,,,,,,,,
Singular Genomics,TRUE,San Diego,Healthcare,,11/15/2023,https://www.genomeweb.com/sequencing/singular-genomics-lays-10-percent-workforce-adjusts-product-roadmap,176,Post-IPO,United States,0.1,R&D,,Definite business realignment,Preserve cash,Cut costs,TRUE,FALSE,,FALSE,1850906,OMIC,NASDAQ,FALSE,FALSE,0.070460769,-0.287072274,-0.066666683,0.054285697,0.075949368,0.02823528,-0.073226556,
FintechOS,FALSE,Bucharest,Finance,,11/15/2023,https://www.startupcafe.ro/idei-antreprenori/concedieri-startup-it-fintechos-companie-restructurari.htm,91,Series B,Romania,,,,,,,,,,,,,,,,,,,,,,,
FreshBooks,FALSE,Toronto,Finance,,11/15/2023,https://betakit.com/freshbooks-president-and-ceo-depart-as-company-lays-off-six-percent-of-employees/,331,Unknown,Canada,0.06,,,,,,,,,,,,,,,,,,,,,,
Landing,TRUE,Birmingham,Real Estate,,11/15/2023,https://www.bizjournals.com/birmingham/inno/stories/news/2023/11/15/landing-initiates-another-round-of-layoffs.html,347,Series C,United States,,,,,,,,,,,,,,,,,,,,,,,
Uleet,TRUE,Columbus,Healthcare,,11/15/2023,https://www.bizjournals.com/columbus/inno/stories/inno-insights/2023/11/15/columbus-uleet-shutdown-alex-husted-interview.html,,Unknown,United States,1,,,,,,,,,,,,,,,,,,,,,,
