naics,Company,Dollars Raised (mil),NAICS 2 Digits,AIIE
21,1,4200,21,-0.67779472
32,24,611,32,-0.673523408
33,124,2397.873469,33,-0.136239444
42,4,342,42,0.26408451
44,1,52,44,-0.030859353
45,36,644.3142857,45,0.017075078
48,1,118,48,-0.239921654
51,17,982.6470588,51,1.267555044
52,27,1650.136364,52,2.05267
53,13,38071.46154,53,0.509203825
54,252,1043.972368,54,1.594927833
56,42,5600.95,56,-0.211015155
62,4,439,62,0.560800806
71,1,719,71,0.0958935
72,3,678.6666667,72,-0.931827
