Locations,Count,Country,State,State ID,County,County Fips,lat,lng,AI Exposure - State,AI Exposure - County,Population - City,Density - City
Shenzen,8,China,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Auckland,8,New Zealand,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Sacramento,7,United States,California,CA,Sacramento,6067,38.5677,-121.4685,1.028286,1.056343,1957738,2049.4
Barcelona,7,Spain,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Chennai,7,India,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Nashville,7,United States,Tennessee,TN,Davidson,47037,36.1715,-86.7842,0.5869446,1.07002,1177657,555.4
Calgary,7,Canada,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Dubai,7,United Arab Emirates,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Santiago,6,Chile,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Copenhagen,6,Denmark,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Hamburg,6,Germany,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Stamford,6,United States,Connecticut,CT,Western Connecticut,9190,41.1039,-73.5585,1.154729,1.241433,135413,1389.9
Charlotte,6,United States,North Carolina,NC,Mecklenburg,37119,35.2083,-80.8303,0.737784,0.9888068,1427444,1089.8
Hong Kong,6,Hong Kong,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Las Vegas,6,United States,Nevada,NV,Clark,32003,36.2333,-115.2654,-0.0579104,-0.2982186,2248047,1755.1
Ottawa,6,Canada,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Curitiba,6,Brazil,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Buenos Aires,6,Argentina,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Baltimore,5,United States,Maryland,MD,Baltimore,24510,39.3051,-76.6144,1.151089,1.374542,2196524,2788.2
Vienna,5,Austria,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Tokyo,5,Japan,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Saskatoon,5,Canada,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Noida,5,India,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Helsinki,5,Finland,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Belo Horizonte,5,Brazil,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Mexico City,5,Mexico,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Boise,5,United States,Idaho,ID,Ada,16001,43.6005,-116.2308,0.4952719,0.8809481,449776,1072.4
Reno,5,United States,Nevada,NV,Washoe,32031,39.5497,-119.8483,-0.0579104,-0.1714805,457702,940.5
Waterloo,5,Canada,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Bogota,5,Colombia,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Tampa Bay,4,United States,Florida,FL,Not found,Not found,27.94752,-82.45843,0.7379833,0.747048121,3175275,3727
Manchester,4,United Kingdom,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Ann Arbor,4,United States,Michigan,MI,Washtenaw,26161,42.2759,-83.731,0.6779525,1.264392,308983,1671.9
Santa Barbara,4,United States,California,CA,Santa Barbara,6083,34.4285,-119.7202,1.028286,0.2667122,199023,1754.6
Milwaukee,4,United States,Wisconsin,WI,Milwaukee,55079,43.0642,-87.9675,0.7248446,1.290862,1290940,2301.6
Birmingham,4,United States,Alabama,AL,Jefferson,21111,33.5279,-86.7971,0.5171078,0.5960811,782111,526.4
Kansas City,4,United States,Missouri,MO,Jackson,29095,39.1238,-94.5541,0.9743246,1.396885,1689556,620.7
Luxembourg,4,Luxembourg,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Cincinnati,4,United States,Ohio,OH,Hamilton,39061,39.1413,-84.506,0.8504633,1.226418,1692702,1530.6
Vilnius,3,Lithuania,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Krakow,3,Poland,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Santa Fe,3,United States,New Mexico,NM,Santa Fe,35049,35.6619,-105.9819,0.9067282,0.3487642,93165,647.7
Ibadan,3,Nigeria,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Zurich,3,Switzerland,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Edinburgh,3,United Kingdom,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Indianapolis,3,United States,Indiana,IN,Marion,18097,39.7771,-86.1458,0.4297744,0.9747427,1729849,941.8
Seoul,3,South Korea,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
San Antonio,3,United States,Texas,TX,Bexar,48029,29.4632,-98.5238,0.9305078,1.122901,2058444,1118.8
Blumenau,3,Brazil,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Logan,3,United States,Utah,UT,Cache,49005,41.7399,-111.8422,1.021964,0.9365196,121666,1142.4
Non-U.S.,3,Seychelles,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Kuala Lumpur,3,Malaysia,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Orlando,2,United States,Florida,FL,Orange,12095,28.4773,-81.337,0.7379833,0.2919726,1882705,1070.2
Madrid,2,Spain,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Prague,2,Czech Republic,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Pune,2,India,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Cayman Islands,2,Cayman Islands,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Brno,2,Czech Republic,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Walldorf,2,Germany,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Karachi,2,Pakistan,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA,Not USA
Norwalk,2,United States,California,CA,Los Angeles,6037,33.9069,-118.0829,1.028286,1.266307,101893,4052.7
